target_besch,target_image
bild_dest,image_dest
\\<bl\\>,imglist
\\<bl2\\>,imgarray
get_daten,get_data
get_nummer,get_id
bild_besch_t,image_t
get_bild_nr,get_image_id
get_vordergrund,get_foreground
get_hintergrund,get_background
get_bilder,get_images
get_bild,get_image
bild_besch_t,image_t
bildliste_besch_t,image_list_t
bildliste2d_besch_t,image_array_t
get_liste,get_list
calc_bild,calc_image
set_bild,set_image
\\<bild\\>,image
Vordergrundbilder,Foreground-images
Hintergrundbilder,Background-images
back_bild,back_image
backbild,back_image
after_bild,foreground_image
tmp_bild,tmp_image
bild_nr,imageid
_image_nr,_imageid
bild0,image0
basis_bild,base_image
bild_data,image_data
_bild\\>,_image
Bildliste2D,Image-list 2d
Bildliste,Image-list
baum_bild_alter,tree_age_index
ground_bild_list,ground_image_list
bild_index,index
bild_in,image_in
Kindknoten,Child nodes
Beschreibung\\>,Description
(keine),(none)
