hang_t::typ,slope_t::type
hang_t::doppel,slope_t::doubles
hang_t::wegbar_ns,slope_t::way_ns
hang_t::wegbar_ow,slope_t::way_ew
hang_t::einfach,slope_t::single
hang_t::all_up,slope_t::all_up
corner1,corner_sw
corner2,corner_se
corner3,corner_ne
corner4,corner_nw
slope_t::corner,slope4_t::corner
hang_typ,slope_type
hang_t::flach,slope_t::flat
hang_t::erhoben,slope_t::raised
hang_t::gegenueber,slope_t::opposite
hang_t::ist_einfach,slope_t::is_single
hang_t::ist_wegbar_ns,slope_t::is_way_ns
hang_t::ist_wegbar_ow,slope_t::is_way_ew
hang_t::ist_wegbar,slope_t::is_way
hang_t::,slope_t::
ribi_t::ist_exakt_orthogonal,ribi_t::is_perpendicular
ribi_t::ist_einfach,ribi_t::is_single
ribi_t::ist_kurve,ribi_t::is_bend
ribi_t::ist_gerade_ns,ribi_t::is_straight_ns
ribi_t::ist_gerade_ow,ribi_t::is_straight_ew
ribi_t::ist_gerade,ribi_t::is_straight
ribi_t::doppelt,ribi_t::doubles
ribi_t::rueckwaerts,ribi_t::backward
ribi_t::keine,ribi_t::none
ribi_t::alle,ribi_t::all
ribi_typ\\>,ribi_type
